SMM274 Behavioural Finance,SMM274,BBMSCB
SL1002 Bio-medical Sciences (1)/Spring,SL1002S,HACOMS
SL1003 Life Span Studies/Spring,SL1003S,HACOMS
SL1004 Social Context/Spring,SL1004S,HACOMS
SL1005 Language Sciences (1)/Spring,SL1005S,HACOMS
SL1006 Professional Studies (1)/Spring,SL1006S,HACOMS
SL1006 Professional Studies (1)/Summer,SL1006SUM,HACOMS
AMM424 Introduction to Research,AMM424,AAARTP
AMM419 Fundraising in and for the Cultural Sector,AMM419,AAARTP
AMM408 Audiences and Marketing,AMM408,AAARTP
AMM420 Evaluation Politics and Advocacy,AMM420,AAARTP
AMM406 Managing Organisations,AMM406,AAARTP
CS2509 Financial Engineering in C++,CS2509,AACONT
CE2557 Web and Multimedia Programming with ActionScript,CE2557,AACONT
CS2566 VBA in Excel Part 3,CS2566,AACONT
LAM020 Industry Context and Processes,LAM020,AALANG
LAM021 Principles and Practice of Audiovisual Translation,LAM021,AALANG
LAM022 Principles and Techniques of Subtitling,LAM022,AALANG
LAM023 Interlingual Subtitling,LAM023,AALANG
EC3022 Industrial Organisation,EC3022,SSECON
EC2013 Intermediate Microeconomics 1,EC2013,SSECON
EC2014 Intermediate Microeconomics 2,EC2014,SSECON
EC2015 Intermediate Macroeconomics 1,EC2015,SSECON
EC2016 Intermediate Macroeconomics 2,EC2016,SSECON
EC2017 Introductory Econometrics,EC2017,SSECON
PS3019 Topics in Cognitive Neuroscience,PS3019,SSPSYC
SMM972 Oil & Energy Transportation & Logistics,SMM972,BBMSCB
SMM522 Research Project Management Skills/RE, REI,SMM522,BBMSCB
MS2105 Creativity, Innovation & Design,MS2105,BBUGPR
CS1386 Buying Art Now: Understanding the British and International Art Markets,CS1386,AACONT
CE2388 Making Music Work: An Introduction to the Music Industry,CE2388,AACONT
AF3200 Financial Reporting Theory & Practice,AF3200,BBUGPR
PS1008 Research Design And Analysis (Laboratory Methods),PS1008,SSPSYC
MBMxxx Revision EMBA,MBMxxx Rev EMBA,BBMBAB
Timberlake,Timberlake,BBCASS
HSM100 Course administration,HSM100,HNSONM
MU2118 Professional and Community Music Study,MU2047,AAMUSC
MUM101 Critical Reading in Musicology,MUM101,AAMUSC
EPM975 Sustainable Aviation,EPM975,EESEMS
EPM974 General Principles of Human Factors,EPM974,EESEMS
MA3615 Groups & Symmetry,MA3615,EESEMS
EE3447 Digital Communications,EE3447,EESEMS
CE2384 How to Produce a Feature Film,CE2384,AACONT
CS2387 Film Editing with Final Cut and Pro,CS2387,AACONT
CE2589 Graphics Design an Introduction,CE2589,AACONT
SMM789 Workshops of Management /Induction,SMM789 mgt induction,BBMSCB
SMM522 Research Project Management Skills/BIF,SMM522 BIF,BBMSCB
EPM939 Advanced Practice of Management/SEMS,EPM939,EESEMS
MBM407 Mba Block 2: Integration,MBM407 INT,BBMBAB
MBM406 MBA Block 1: Personal Development,MBM406,BBMBAB
MSc Tests/Cass,Cass MSc,BBMSCB
SMM522 Research Project Management Skills/IM,SMM522 Rpms/IM,BBMSCB
SMM439 Marketing Strategy Simulation,SMM439,BBMSCB
SMM440 Consumer Behaviour,SMM440,BBMSCB
SMM431 Management Accounting Systems,SMM431,BBMSCB
SMM432 Managing Customers in Business to Business Marketing,SMM432,BBMSCB
SMM441 Financial Crime: Issues for Management,SMM441,BBMSCB
SMM429 Social Enterprise,SMM429,BBMSCB
SMM430 International Management,SMM430,BBMSCB
SMM434 Knowledge Management,SMM434,BBMSCB
JOM871 Key Issues in Financial Journalism,JOM871,AAJOUR
SMM195 Real Estate Investment & Market Analysis/RE,SMM195,BBMSCB
SMM477 Entrepreneurship 101,SMM477,BBMSCB
SMM887 High Growth Entrepreneurship,SMM887,BBMSCB
SMM478 Entrepreneurial Management,SMM478,BBMSCB
MBM020 Human Resource Management (MEMBA),MBM020MEMBA,BBMBAB
z/BS2095 Spanish for Business: Lower Intermediate Level,BS2095,AALANG
